,./nmf_tap_rev_unf.exe,./nmf_tap_for_unf.exe,./nmf_diff_unfused.exe,./nmf_diff_nonmotion.exe,./nmf_diff_nomotion.exe,./nmf_diff.exe,./nmf_diff_dps.exe,python ./nmf.py exponential,mono nmf_fsharp_for.exe,mono nmf_fsharp_rev.exe,futhark/time_futhark.sh nmf
100,0.2604,18.053799,106.380798,3.2554,3.3856,0.083,0.0622,0.1918,750.2,31.6,2.8974
200,0.5778,72.244202,401.967798,12.417,13.77,0.1424,0.1494,0.3188,3293.6,65.2,12.2373
400,1.1728,289.393188,1664.736719,49.392401,55.474597,0.2526,0.248,0.5856,14465.6,128.2,47.3068
800,2.6678,1148.745996,,183.6974,203.327002,0.495,0.4842,1.0166,59184.4,267.2,191.3938
1600,5.4622,5148.885156,,754.242383,829.163965,0.9944,0.996,1.9202,,605.6,769.2871
3200,12.9192,22772.495312,,3137.021289,3470.310547,2.0924,2.1162,3.3572,,1262.0,3440.2883
200,0.7186,37.328601,204.914795,6.7294,7.306,0.147,0.1414,0.283,1724.6,66.4,5.9663
400,1.3642,74.153601,414.280615,13.029401,13.8494,0.2798,0.2788,0.5098,3796.4,135.6,12.2835
800,2.6766,153.665796,880.418164,27.817801,27.8008,0.6028,0.5294,0.843,7848.2,404.0,24.3892
1600,6.421,352.425,1785.361719,53.608002,55.1604,1.0624,1.0292,2.0056,17869.2,858.8,52.8608
3200,12.7206,746.6896,,109.735803,110.872205,2.1884,2.5616,3.5576,35895.2,1457.4,107.349
